Trial,Optimizer,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Compression Factor,Time,Val Accuracy
77,Adam,1,tanh,603,0.00010622456252408011,116,0.00019921063689426786,0.170388703849505,0.5,124.22,52.51
78,Adam,2,gelu,613,0.0008154537603488465,99,3.086166959955954e-05,0.22992337335940669,0.75,77.01,48.870000000000005
79,Adam,3,gelu,3042,0.0006111109757376237,176,0.00015367530940345412,0.28227234682865454,0.75,221.42,52.78
80,Adam,5,selu,626,0.00013268568218571008,430,1.630751871632827e-05,0.20307367984021846,0.75,82.55,52.83
81,Adam,3,tanh,1040,0.000597020156943225,148,0.00039274614327008603,0.14292300905447236,1.0,60.28,46.85
82,Adam,2,tanh,3541,0.00026869625398054175,87,0.00021522143071963658,0.27704751516771614,1.0,248.25,47.339999999999996
83,Adam,5,gelu,2000,0.0003574913340359975,72,1.23407085653496e-05,0.15385558784623252,0.75,135.82,52.66
84,Adam,6,elu,2193,0.0006689396068857299,154,0.0004618103668512731,0.17259501662774954,0.75,130.45,43.07
85,Adam,2,tanh,751,0.00010725667640446422,67,1.082033516622355e-05,0.20467685082890358,0.75,146.91,53.73
86,Adam,6,tanh,784,0.0008914489358402353,90,0.0006794195310152077,0.2817633085273106,0.75,60.28,19.91
87,Adam,5,tanh,3187,0.00020695452389609488,244,6.179100199052185e-05,0.15265549089643493,0.5,163.23,53.510000000000005
88,Adam,1,selu,817,0.0006517246121562333,395,7.044153183483902e-05,0.2535343821367688,0.75,46.13,50.01
89,Adam,4,relu,277,0.00026181226430876644,140,8.357528840109189e-05,0.2998762962665087,0.5,107.01,45.56
90,Adam,6,selu,1153,0.000640042517726337,70,0.00019544905488436573,0.1816800431624816,0.75,143.91,45.550000000000004
91,Adam,6,elu,782,0.0001226595032158419,226,1.0090257725928943e-05,0.11462813171201656,1.0,73.75,55.089999999999996
92,Adam,1,elu,3557,0.0008770285906020751,119,0.0004590321351021898,0.19362508487348568,0.5,68.15,43.8
93,Adam,6,elu,2100,0.0002049693390470781,169,5.316160639529539e-05,0.2095405064942943,0.75,161.99,54.59
94,Adam,2,tanh,280,0.0003446981005421569,393,4.1229368577159144e-05,0.21914333541626252,0.75,56.26,52.18000000000001
95,Adam,2,selu,385,0.0003845138621264217,281,2.1840931919890782e-05,0.1760933684826179,0.75,63.42,54.42
96,Adam,3,selu,2651,0.0002480548700819031,402,0.00015025441446215866,0.17975229185371439,1.0,262.21,54.559999999999995
97,Adam,2,relu,2554,0.00022654593136790268,371,0.00029897998755068646,0.29289699813686665,1.0,161.57,55.61000000000001
98,Adam,4,elu,1534,0.0006714050968350713,312,4.233455777094503e-05,0.2313928886357022,0.5,57.36,52.43
99,Adam,3,tanh,1014,0.0002487280648766116,498,0.00013261916338306272,0.17493673925182618,1.0,91.94,55.32
100,Adam,1,selu,2079,0.0001658212973732531,230,6.255060749730084e-05,0.21259045962980713,0.75,107.87,51.18000000000001
101,Adam,2,relu,470,0.0005006214857421319,350,0.0002295407839174753,0.2805474059862749,0.5,68.77,52.25
102,Adam,6,selu,376,0.0004391873005197238,143,4.902013060376251e-05,0.13553877449289692,0.75,73.04,53.7
103,Adam,2,elu,2405,0.00012919111393348463,106,5.365453116907639e-05,0.1863584867563816,1.0,179.28,54.65
104,Adam,5,selu,933,0.00033163283017104784,420,0.0001616727216392333,0.14577831874569178,0.75,87.98,55.489999999999995
105,Adam,2,gelu,1392,0.00011666551172194902,356,7.055945632362205e-05,0.15020687581575462,0.75,69.01,55.2
106,Adam,5,tanh,3069,0.0007970258179207753,451,3.6258661950409184e-05,0.28415090607990223,0.5,153.49,38.5
107,Adam,4,tanh,3765,0.0008109356193333207,144,0.00037276152610682845,0.25683350789402315,0.75,190.08,18.85
108,Adam,6,elu,2551,0.0008869982783264568,347,0.00063038149144843,0.1540586916769426,0.5,104.72,45.440000000000005
109,Adam,6,relu,1267,0.00011070894953734212,252,3.502912678780284e-05,0.29732155686376704,1.0,163.06,53.99
110,Adam,5,tanh,1017,0.0002717481535159855,294,7.611987699377897e-05,0.26791507178690654,0.75,93.35,52.11
111,Adam,2,gelu,1536,0.0008962472613558917,67,5.4344527118194525e-05,0.21122545403912824,0.5,64.81,45.910000000000004
112,Adam,2,elu,1478,0.00031284578111184374,348,0.00013552305858683484,0.13797913183363256,0.5,72.58,55.089999999999996
113,Adam,2,selu,1571,0.00014611972483641637,348,2.5911124548084072e-05,0.2532699552599761,1.0,108.64,52.949999999999996
114,Adam,2,elu,1358,0.00015518247235766242,77,1.5663728769827182e-05,0.11759606869503579,0.75,103.37,54.17999999999999
115,Adam,1,gelu,1476,0.0003016908692586614,410,0.00013006670790777106,0.18312045221353107,0.5,61.9,54.87
116,Adam,1,gelu,2115,0.00015732838874668478,81,0.00020665274952347154,0.11766189834053882,0.75,120.92,54.37
117,Adam,2,selu,328,0.0007699511629425552,169,0.00011998117039118288,0.23695515881680534,0.75,53.55,52.15
118,Adam,2,gelu,894,0.00012790977873497947,65,0.0005311779778180618,0.13802025303764132,0.5,131.57,55.7
119,Adam,1,selu,1866,0.00016856495283892,484,0.0008124451434618569,0.11935886106505358,1.0,113.72,49.47
120,Adam,1,gelu,568,0.0006375658294323769,158,0.00013560546219044056,0.2504966439329608,0.75,55.04,49.19
121,Adam,1,elu,2655,0.0009964790560620849,213,1.9833534969699783e-05,0.15963439842821198,0.5,42.36,47.599999999999994
122,Adam,1,gelu,322,0.00022919025438830856,124,3.476781343747802e-05,0.1264316551082128,0.5,61.61,52.72
123,Adam,4,elu,286,0.0007060773559186203,133,3.45073838409361e-05,0.10786223714081813,0.75,62.57,53.06999999999999
124,Adam,1,gelu,1576,0.00022389813264137747,318,3.230606851954124e-05,0.2719752222373294,1.0,70.35,55.16
125,Adam,5,relu,419,0.0002051754691767977,88,0.00017665593291174447,0.13322963784885242,0.5,118.01,53.190000000000005
126,Adam,3,selu,2088,0.0002320645631678734,158,0.0005521237553150513,0.2944572950463897,0.75,157.56,50.8
127,Adam,2,selu,886,0.0003211364434143158,338,6.834549481103645e-05,0.2465304026731399,1.0,60.81,53.410000000000004
128,Adam,3,selu,702,0.000287076875175188,360,0.0005624729392820131,0.1095291268386494,0.5,66.36,53.76
129,Adam,1,relu,806,0.0006273696573158281,220,7.772369920678503e-05,0.23926186621771053,1.0,67.5,51.66
130,Adam,5,gelu,551,0.0001381218992167675,172,1.1508330643776123e-05,0.29214046409390004,0.5,86.99,54.690000000000005
131,Adam,3,gelu,2015,0.0008906060212231524,244,0.00013116386405788165,0.10143636029531762,1.0,84.05,51.970000000000006
132,Adam,2,selu,3065,0.00017735173802650573,98,4.151778854770726e-05,0.28060768557992943,0.5,205.23,53.33
133,Adam,3,gelu,1997,0.0007078295694779311,269,3.66338733731256e-05,0.2253124836533421,0.5,72.86,53.71
134,Adam,5,tanh,1610,0.0006213053583934358,173,0.0006763027514101131,0.2180040886701229,0.5,82.08,42.089999999999996
135,Adam,5,relu,1757,0.0005137540601069016,208,9.902129333163367e-05,0.2874167713791539,0.75,119.93,49.49
136,Adam,6,tanh,1573,0.00020419822405289202,192,0.0009117340064541514,0.120888361860774,0.5,139.99,51.6
137,Adam,1,selu,1666,0.0002093406961563375,235,7.578662104237923e-05,0.29499516512815627,0.75,137.33,52.11
138,Adam,3,elu,1737,0.00010865130447639019,201,0.000287537953191412,0.29150538500869083,0.5,137.55,52.72
139,Adam,3,selu,3214,0.000170857304565768,343,1.0822393849316317e-05,0.2671263349902665,0.75,190.68,54.26
140,Adam,1,elu,1021,0.00043202410783508557,257,1.0869949536698964e-05,0.16788328169623556,0.5,58.85,53.5
141,Adam,1,elu,570,0.0008360549152728077,136,0.000849926181669378,0.2000980380032953,1.0,39.67,45.9
142,Adam,2,relu,2526,0.0004539193123766364,146,0.0005678101691552907,0.10442928887550765,1.0,168.37,53.23
143,Adam,6,relu,696,0.0005051869514680084,290,2.1207233722502044e-05,0.12547294228079775,0.75,59.61,53.080000000000005
144,Adam,4,tanh,755,0.0001661548065465677,230,6.356238964886337e-05,0.12633879310065158,0.5,68.29,54.410000000000004
145,Adam,3,elu,2351,0.0006837619275769438,458,0.00017065492400535333,0.2669137445817168,0.5,107.04,53.239999999999995
146,Adam,5,gelu,515,0.00018417477333349644,64,0.000267945591794296,0.14107251809562543,0.75,94.16,54.98
147,Adam,6,elu,1934,0.00032192401921423433,236,0.0002767962516392782,0.14943974723129147,0.5,159.84,54.6
148,Adam,4,gelu,1194,0.0003156495269698477,113,0.00024575244903734026,0.15239998732392185,0.75,80.44,54.22
149,Adam,3,tanh,2992,0.0006026024539076411,64,0.00047655161245023785,0.12008577232315876,0.75,162.88,33.39
150,Adam,1,elu,387,0.0001417512496548977,374,2.1793028786361352e-05,0.13626548528591143,0.75,74.16,52.019999999999996
151,Adam,2,selu,1304,0.0001632764943913025,205,0.00029654277329746264,0.19896370217755127,1.0,145.85,53.89000000000001
152,Adam,1,selu,982,0.0006964044562289241,78,0.0006031763205240979,0.26979116793271396,0.5,55.92,44.68
153,Adam,6,relu,3048,0.00019311031339900854,124,0.0005388867805607591,0.29564320225068574,0.75,287.22,51.71
154,Adam,4,relu,303,0.00015191647111344075,193,4.84715740314141e-05,0.1858823494968602,0.75,77.81,52.949999999999996
155,Adam,3,relu,749,0.0002758979828804705,237,1.4120186878480839e-05,0.1985574436001668,1.0,72.6,54.800000000000004
156,Adam,2,selu,1532,0.0009172541175419737,88,0.0005493876269383252,0.218294602738221,1.0,89.52,43.1
157,Adam,4,tanh,1157,0.00015758496884025954,399,0.00011707074069663006,0.14387448374453154,0.75,87.38,54.42
158,Adam,5,relu,1562,0.00035266516307017797,307,0.0005554399493498103,0.15356075400796676,0.5,88.95,54.1
159,Adam,2,gelu,693,0.0008816441868571081,367,3.4934083970869376e-05,0.21620899454372106,0.75,54.02,52.449999999999996
160,Adam,6,relu,367,0.0001354942832502262,107,3.480585342417008e-05,0.18309337288432204,0.75,110.52,52.300000000000004
161,Adam,1,relu,3308,0.00031743364673542394,71,4.031483447814521e-05,0.19660395469024436,0.5,157.3,52.190000000000005
162,Adam,1,gelu,1182,0.0001560105104563626,145,0.000193962040036456,0.22688171944622007,1.0,84.78,55.059999999999995
163,Adam,5,tanh,521,0.0004304660337786004,174,0.0001719672988720004,0.15421433694346035,0.5,55.09,48.870000000000005
164,Adam,1,selu,311,0.0006790973593476769,199,0.0007165921338728122,0.18136993489079015,0.5,21.07,31.0
165,Adam,3,tanh,3046,0.0001328239482380253,338,2.0444102771826368e-05,0.25535155652721264,0.5,197.57,55.24
166,Adam,4,relu,918,0.0002910313019313385,211,0.0001630199877006222,0.27604247091311396,0.75,107.29,54.02
167,Adam,4,selu,1427,0.0002816712626759966,122,1.0487671103001316e-05,0.11672976912940783,1.0,102.47,51.870000000000005
168,Adam,5,selu,487,0.0001479559406066746,364,1.252061594334462e-05,0.20153771789179203,0.5,89.92,53.459999999999994
169,Adam,2,elu,2264,0.0004018898761959928,148,0.0007961673584202544,0.2854097478655556,0.75,145.52,45.68
170,Adam,2,elu,3063,0.000764283734071561,148,3.369034118864571e-05,0.23026829285093076,0.5,81.93,46.25
171,Adam,4,elu,3133,0.00026180647092775264,119,0.00019859733664934055,0.1686446669880475,1.0,361.03,51.25999999999999
172,Adam,5,elu,695,0.0005535751018890717,389,1.2324627416540598e-05,0.24301901114335575,1.0,64.52,54.13
173,Adam,4,selu,2277,0.00014470574697013306,116,8.197730276686402e-05,0.2870341573524181,0.75,267.41,54.669999999999995
174,Adam,3,tanh,1271,0.0003881758498826529,398,0.0007167823821377651,0.1111073049640201,0.75,62.93,51.870000000000005
175,Adam,4,tanh,920,0.000382850528985786,434,0.000620988317314229,0.2813521443399998,0.75,75.07,49.45
176,Adam,6,selu,409,0.00010238000586749982,367,0.00014892793416895696,0.11396170613062727,1.0,74.48,54.6
177,Adam,1,selu,371,0.00033537393881805225,446,1.6685830671613556e-05,0.154393706166775,0.75,57.19,50.61
178,Adam,4,elu,904,0.00016013432102316428,471,0.0002994216754599396,0.1383390627473325,0.5,102.2,55.60000000000001
179,Adam,4,tanh,604,0.000128687440593449,89,6.350164627624265e-05,0.11562930572697341,0.5,94.03,53.580000000000005
180,Adam,1,relu,783,0.00018378921204808874,242,3.2455841321760306e-05,0.2892572955309573,0.75,78.28,54.09
181,Adam,6,gelu,295,0.0003466785842441919,492,0.0005380929339242294,0.21263042862465564,0.75,57.55,52.81
182,Adam,6,elu,2166,0.0008556240627698136,461,0.0008186735791324293,0.2699664168330699,0.75,115.02,44.84
183,Adam,5,selu,561,0.00019957570153888746,102,0.0003474408406608296,0.2573546887432843,0.75,119.07,51.44
184,Adam,3,tanh,330,0.00013159076724992479,212,0.0003286218873837328,0.2400185035884033,1.0,92.97,52.55
185,Adam,4,selu,842,0.00015706865361331092,214,0.0006885349265153243,0.21397375286499742,0.75,138.17,53.010000000000005
186,Adam,5,gelu,837,0.0006646349805445906,65,3.656594706316332e-05,0.20597332578854763,0.75,134.95,50.61
187,Adam,4,selu,939,0.00011422481431927437,90,0.00014504030057083892,0.2865762508488152,0.75,196.07,54.92
188,Adam,1,selu,694,0.0004245399195468362,362,0.0001346538552684531,0.14263711102668336,0.75,45.16,50.77
189,Adam,2,tanh,2508,0.0007953814317998931,469,0.00024069218630404422,0.27451647733680185,0.5,114.38,47.06
190,Adam,2,gelu,327,0.0001199661267169683,303,0.0001230517087249357,0.20734786737205768,0.75,66.48,54.14
191,Adam,2,elu,433,0.0004593548934545316,325,9.576714822182245e-05,0.14984903104751324,0.75,54.34,54.059999999999995
192,Adam,4,gelu,312,0.0003616071061939013,97,1.5406978295244325e-05,0.17213421276998483,0.5,83.74,51.28
193,Adam,2,relu,651,0.00010262098804327616,116,4.466613106869037e-05,0.10502785957402672,0.75,73.38,54.400000000000006
194,Adam,3,selu,411,0.0005747039685342226,103,2.8507007487510097e-05,0.1442327682221487,0.75,71.27,53.410000000000004
195,Adam,6,relu,2758,0.00025882951335558647,157,3.770848890826159e-05,0.2572139632889,0.75,288.02,53.580000000000005
196,Adam,5,gelu,382,0.00016772329868856655,293,5.400338447720838e-05,0.17861799824745916,0.75,59.57,55.00000000000001
197,Adam,4,gelu,620,0.0007878806880686609,75,4.212161184521602e-05,0.275587412323242,0.5,89.36,46.01
198,Adam,5,tanh,3000,0.000867800401782017,226,1.1329132897592815e-05,0.24274451674172517,0.75,202.18,16.520000000000003
199,Adam,4,gelu,1807,0.00011927250029170935,166,0.0005541938623580347,0.14784414167311916,1.0,233.9,54.7
200,Adam,4,tanh,1680,0.0001342582290138607,355,1.6064987181094337e-05,0.10819429639379935,0.75,88.5,54.24
